,age,c_charge_degree,race,age_cat,sex,priors_count,days_b_screening_arrest,decile_score,is_recid,two_year_recid
663,53,1,1,0,0,1,-10.0,1,0,0
664,52,0,1,0,0,0,-1.0,1,0,0
665,21,0,0,2,0,0,-1.0,5,0,0
666,37,0,0,1,0,11,-1.0,4,0,0
667,30,1,0,1,0,4,-1.0,9,1,1
670,54,0,0,0,0,0,0.0,1,0,0
671,31,1,0,1,1,0,0.0,1,0,0
672,59,0,1,0,1,2,26.0,3,0,0
673,27,1,0,1,0,0,-1.0,2,0,0
674,36,1,0,1,0,0,-1.0,7,1,1
675,46,0,0,0,0,17,-1.0,9,1,1
676,22,0,0,2,0,3,0.0,9,0,0
677,28,1,1,1,1,0,-1.0,2,0,0
678,34,0,1,1,1,15,-4.0,9,1,1
679,29,0,1,1,0,7,-2.0,9,1,1
680,23,1,0,2,0,2,0.0,10,1,1
681,27,0,0,1,0,3,-1.0,4,0,0
682,21,0,0,2,0,0,-1.0,6,1,1
683,48,0,1,0,0,3,-3.0,1,1,1
686,31,0,0,1,0,5,-1.0,7,0,0
687,36,1,0,1,0,4,-1.0,5,0,0
689,44,0,0,1,0,14,-1.0,8,1,1
690,53,0,1,0,0,2,-2.0,1,0,0
691,33,1,0,1,0,3,-1.0,2,1,1
694,47,0,1,0,0,2,0.0,5,1,1
695,57,0,0,0,0,20,0.0,7,1,1
696,28,1,0,1,0,2,-1.0,4,0,0
697,24,1,0,2,0,1,-1.0,6,0,0
698,44,0,0,1,0,1,-1.0,1,0,0
699,46,0,0,0,0,0,-1.0,1,0,0
700,37,0,0,1,0,6,0.0,3,0,0
701,26,1,0,1,0,10,-6.0,6,1,1
702,27,0,0,1,0,10,0.0,8,1,1
703,40,0,1,1,0,1,-1.0,2,0,0
704,60,0,1,0,1,9,0.0,3,1,1
705,53,0,1,0,0,1,-6.0,1,0,0
707,28,0,0,1,0,0,-1.0,1,0,0
708,23,1,1,2,0,0,0.0,4,0,0
709,46,0,1,0,1,2,-1.0,8,0,0
710,23,0,0,2,0,0,-1.0,5,1,1
713,50,0,0,0,0,18,-1.0,8,1,1
714,45,1,0,0,0,0,-1.0,1,0,0
715,22,0,0,2,0,1,-1.0,5,0,0
716,26,0,1,1,0,1,0.0,2,1,1
717,62,0,1,0,0,0,-1.0,1,0,0
718,34,1,1,1,0,0,0.0,1,1,1
719,24,0,1,2,0,1,-6.0,10,0,0
720,21,1,1,2,0,0,-1.0,2,0,0
721,25,0,1,1,0,0,-1.0,2,1,1
722,68,1,1,0,0,0,-1.0,1,0,0
724,21,0,1,2,0,1,-1.0,3,0,0
725,37,0,1,1,1,1,-1.0,3,0,0
726,22,0,0,2,0,0,0.0,8,0,0
728,42,0,1,1,0,1,-1.0,1,0,0
729,22,0,1,2,0,1,-1.0,4,1,1
730,45,0,0,0,0,0,-1.0,4,1,1
731,36,0,0,1,1,4,-1.0,10,1,1
732,48,0,0,0,0,2,0.0,6,0,0
734,23,0,0,2,0,6,-1.0,9,1,1
735,24,0,0,2,0,0,0.0,8,0,0
736,29,0,0,1,0,0,-1.0,2,0,0
737,24,0,0,2,0,0,-3.0,3,0,0
738,50,0,0,0,0,11,0.0,9,0,0
739,34,0,0,1,0,10,0.0,7,1,1
740,23,0,0,2,0,0,0.0,2,0,0
741,22,1,1,2,1,0,-1.0,5,0,0
742,36,0,0,1,0,0,-1.0,1,0,0
743,30,0,1,1,0,22,-1.0,5,1,1
744,21,0,0,2,0,0,-1.0,10,1,1
745,53,0,1,0,1,0,0.0,1,0,0
747,25,1,0,1,0,7,-1.0,5,1,1
748,25,1,0,1,1,1,0.0,9,0,0
749,71,0,0,0,0,8,-1.0,1,0,0
750,39,1,0,1,0,10,-1.0,9,0,0
751,37,0,0,1,1,0,0.0,5,0,0
752,20,0,0,2,0,0,0.0,5,1,1
753,29,0,0,1,1,3,-1.0,5,0,0
754,22,0,0,2,0,2,-1.0,5,1,1
755,26,0,0,1,0,4,-1.0,7,1,1
757,47,0,0,0,1,19,-1.0,10,1,1
758,21,0,0,2,0,1,-1.0,4,1,1
759,23,1,0,2,1,0,-1.0,10,0,0
760,20,0,1,2,1,1,-1.0,8,1,1
761,23,0,0,2,1,0,-1.0,2,0,0
762,27,1,0,1,0,3,0.0,7,0,0
764,53,0,0,0,1,0,0.0,1,0,0
765,23,0,0,2,1,0,-1.0,7,1,0
766,26,0,0,1,0,5,-1.0,7,1,1
767,25,0,0,1,0,6,-1.0,6,1,0
768,23,1,0,2,0,2,-1.0,4,0,0
769,27,0,0,1,0,4,0.0,9,1,1
771,29,1,0,1,0,1,-1.0,4,0,0
772,27,0,0,1,0,1,-1.0,2,1,1
773,28,0,1,1,0,0,-1.0,2,0,0
774,31,1,0,1,0,0,-1.0,2,0,0
775,41,0,0,1,0,8,-29.0,6,1,1
776,25,1,1,1,0,0,-2.0,2,0,0
777,47,1,1,0,0,0,-1.0,1,0,0
778,37,0,0,1,0,4,-1.0,2,0,0
779,35,0,0,1,1,4,-1.0,5,0,0
780,24,1,1,2,0,1,0.0,4,1,1
781,21,0,1,2,0,2,-1.0,9,1,1
782,22,0,1,2,0,0,0.0,4,1,1
783,57,0,0,0,0,11,-1.0,6,0,0
784,48,0,1,0,0,0,-1.0,7,0,0
785,36,0,0,1,0,0,-1.0,1,0,0
786,37,0,0,1,1,3,-1.0,7,0,0
787,31,1,1,1,0,0,0.0,1,0,0
788,22,0,0,2,0,1,-1.0,9,1,1
789,31,1,1,1,0,2,0.0,3,0,0
790,24,0,0,2,0,0,-1.0,5,1,1
791,32,0,0,1,0,22,0.0,9,1,1
792,23,1,0,2,1,0,-1.0,4,0,0
793,63,1,0,0,0,0,-1.0,1,0,0
794,30,0,0,1,0,0,-1.0,1,0,0
797,20,0,1,2,0,0,-1.0,4,0,0
798,24,1,0,2,1,1,0.0,5,1,1
799,36,1,0,1,1,1,-1.0,2,0,0
800,83,1,1,0,0,0,0.0,1,0,0
801,28,0,1,1,0,2,0.0,6,0,0
802,36,0,0,1,0,3,-1.0,2,1,1
803,33,1,0,1,1,0,-1.0,2,0,0
804,39,0,0,1,0,0,0.0,3,0,0
805,29,1,0,1,0,3,0.0,7,0,0
806,30,0,0,1,0,17,-4.0,10,1,1
808,24,0,0,2,0,1,-1.0,1,1,1
811,35,0,0,1,0,7,-1.0,6,0,0
812,24,0,0,2,0,0,-1.0,3,0,0
814,26,0,1,1,0,8,-1.0,4,0,0
816,28,0,0,1,0,14,-1.0,7,1,1
817,32,1,0,1,0,0,-1.0,5,0,0
818,32,1,1,1,1,1,-1.0,3,1,1
819,33,1,0,1,0,5,0.0,8,1,1
820,29,0,0,1,0,16,-1.0,10,0,0
821,34,1,1,1,0,1,-1.0,3,1,1
822,37,1,0,1,1,0,-1.0,1,1,1
823,43,1,1,1,0,0,0.0,1,0,0
824,47,0,1,0,0,2,-3.0,4,0,0
825,25,1,0,1,0,3,0.0,6,1,1
826,23,0,0,2,1,1,-1.0,3,0,0
827,39,1,1,1,0,2,-1.0,2,1,0
828,35,0,0,1,0,13,-1.0,8,1,1
829,33,0,0,1,0,0,-1.0,1,0,0
830,21,0,0,2,0,0,-1.0,3,1,1
831,43,0,0,1,0,20,0.0,8,0,0
832,25,0,0,1,0,3,-1.0,8,1,1
833,48,0,0,0,0,25,-1.0,10,1,1
834,22,1,0,2,0,1,28.0,7,1,1
835,52,1,0,0,0,9,-1.0,8,1,1
836,26,0,1,1,0,5,-1.0,4,1,1
837,67,1,0,0,0,4,-1.0,7,1,1
838,34,1,0,1,0,4,-1.0,2,0,0
839,56,1,1,0,0,4,-1.0,1,1,0
840,28,0,0,1,0,1,-1.0,4,1,1
841,29,1,0,1,0,2,-1.0,4,0,0
843,37,0,0,1,0,6,-1.0,5,1,1
844,43,0,0,1,0,3,-1.0,2,0,0
845,51,0,1,0,0,0,-1.0,1,0,0
846,20,1,0,2,0,1,-2.0,7,1,1
847,26,1,1,1,0,4,0.0,7,1,1
848,39,1,1,1,1,1,-1.0,2,1,1
849,21,0,0,2,0,1,-1.0,8,0,0
850,21,0,0,2,0,1,-1.0,9,1,1
851,24,0,1,2,0,3,-1.0,4,1,1
852,26,1,0,1,0,4,-1.0,8,1,1
853,48,0,1,0,0,1,0.0,2,0,0
854,24,0,0,2,0,5,-1.0,5,1,1
855,26,0,1,1,0,0,0.0,4,0,0
856,46,0,1,0,0,0,-1.0,1,0,0
858,24,1,0,2,0,7,-1.0,9,0,0
859,21,1,1,2,1,0,-1.0,5,0,0
860,24,0,0,2,0,1,-1.0,3,1,1
862,36,1,0,1,0,9,0.0,8,0,0
863,30,0,0,1,0,5,-1.0,4,1,1
864,22,0,1,2,1,1,-23.0,6,0,0
865,25,0,0,1,0,0,-1.0,9,1,1
866,31,1,0,1,0,25,-1.0,8,1,1
867,24,0,0,2,0,0,-1.0,4,0,0
868,39,0,0,1,0,13,-1.0,8,1,1
869,46,0,0,0,0,0,-1.0,1,0,0
871,30,0,0,1,1,4,-5.0,3,0,0
872,40,0,1,1,0,0,0.0,2,0,0
873,52,0,0,0,1,0,-1.0,1,0,0
874,23,0,0,2,0,3,-1.0,9,0,0
875,26,1,0,1,1,1,-1.0,2,0,0
876,22,0,1,2,0,1,-1.0,8,1,1
877,42,0,1,1,0,3,0.0,4,0,0
878,23,0,0,2,0,6,-1.0,10,1,1
879,33,0,0,1,0,4,-1.0,3,1,1
880,28,0,0,1,0,1,-1.0,3,0,0
882,50,0,1,0,0,1,-1.0,1,1,0
884,32,0,0,1,0,1,-1.0,7,0,0
885,24,0,1,2,0,3,-1.0,6,1,1
886,51,0,0,0,0,3,-1.0,2,0,0
887,19,1,1,2,0,1,-1.0,4,1,1
888,32,0,0,1,0,4,0.0,5,0,0
889,31,0,1,1,1,1,-22.0,3,1,1
890,29,0,0,1,1,1,7.0,5,0,0
891,43,1,1,1,0,0,-1.0,1,0,0
892,26,0,0,1,0,9,-1.0,7,1,1
893,27,0,1,1,0,0,-1.0,10,1,1
894,52,0,1,0,0,1,-1.0,1,1,1
895,27,1,1,1,0,1,-1.0,1,0,0
896,57,1,1,0,1,1,-1.0,2,0,0
897,28,1,0,1,0,3,-1.0,6,1,1
898,32,0,0,1,0,3,-1.0,1,1,1
899,27,1,0,1,0,5,0.0,3,1,1
900,45,1,1,0,0,0,-1.0,1,1,1
901,42,1,1,1,1,0,0.0,1,0,0
902,33,0,0,1,0,0,-1.0,2,1,1
904,28,1,1,1,1,3,-1.0,4,0,0
905,53,1,1,0,1,0,-1.0,1,0,0
906,24,0,1,2,0,0,-1.0,2,0,0
907,28,0,1,1,0,1,-9.0,2,0,0
908,28,0,1,1,0,1,-1.0,5,0,0
909,39,1,0,1,0,6,-1.0,7,1,1
910,22,0,0,2,0,1,0.0,7,1,1
911,46,0,0,0,0,2,0.0,2,1,1
912,25,1,0,1,0,0,0.0,2,0,0
913,52,0,1,0,0,1,-5.0,5,0,0
914,28,1,0,1,0,4,-1.0,2,1,1
915,57,0,1,0,1,1,-4.0,1,1,1
916,49,0,0,0,0,3,-1.0,1,1,1
917,21,0,0,2,0,2,-1.0,9,1,1
918,32,0,0,1,0,19,-1.0,10,1,1
919,63,1,0,0,0,3,-1.0,9,0,0
920,29,0,1,1,0,2,0.0,3,0,0
921,46,1,0,0,0,0,0.0,1,0,0
923,28,1,0,1,0,10,-1.0,7,1,1
924,27,0,0,1,0,1,-3.0,2,0,0
925,69,1,1,0,1,0,0.0,1,0,0
926,47,1,1,0,0,0,-1.0,1,0,0
927,45,0,1,0,0,1,-1.0,3,0,0
928,33,1,1,1,1,1,0.0,1,0,0
929,27,1,1,1,1,0,0.0,2,1,1
931,32,0,0,1,0,14,-1.0,9,1,1
932,24,0,0,2,0,2,-1.0,7,0,0
933,26,0,0,1,0,5,-1.0,10,1,1
934,47,1,1,0,0,0,-4.0,4,0,0
935,25,0,1,1,0,1,-1.0,5,0,0
936,21,0,0,2,0,1,-1.0,8,0,0
937,25,1,0,1,0,2,-1.0,2,1,1
938,22,0,0,2,0,6,-1.0,7,1,1
939,26,0,1,1,1,0,-1.0,6,0,0
940,20,0,1,2,0,0,-1.0,4,0,0
941,30,1,0,1,0,1,-1.0,5,1,1
942,45,0,0,0,0,0,-3.0,5,1,1
943,33,0,0,1,0,7,0.0,7,1,1
944,35,0,1,1,0,2,-1.0,1,0,0
945,41,0,1,1,0,5,-1.0,1,0,0
946,23,1,1,2,0,0,0.0,3,0,0
947,21,1,1,2,1,0,-1.0,5,1,1
948,54,0,0,0,0,0,-1.0,1,0,0
949,27,0,0,1,0,10,-1.0,6,1,1
950,22,1,1,2,0,0,-4.0,3,0,0
951,21,1,1,2,1,0,-1.0,7,1,1
952,23,0,0,2,0,2,-1.0,6,1,1
953,30,1,1,1,0,1,-9.0,1,0,0
954,36,1,0,1,0,5,-20.0,8,1,1
956,29,0,0,1,0,10,-1.0,7,1,1
957,54,1,0,0,0,4,-1.0,5,1,1
958,22,1,1,2,0,2,-1.0,5,1,1
960,26,1,0,1,0,0,-1.0,4,1,1
961,20,0,0,2,1,0,-1.0,4,0,0
963,52,1,0,0,0,6,0.0,1,1,1
964,29,0,0,1,0,0,-1.0,1,0,0
965,23,1,0,2,1,6,-18.0,7,0,0
966,35,1,0,1,0,1,-1.0,1,0,0
967,32,0,1,1,0,8,-4.0,9,1,1
968,21,1,0,2,0,1,-18.0,7,1,1
969,25,0,1,1,0,0,-1.0,3,0,0
971,30,1,0,1,0,4,-1.0,4,1,1
972,30,0,0,1,1,3,-1.0,4,0,0
973,23,0,0,2,0,2,-1.0,7,1,1
974,32,0,1,1,0,8,-2.0,4,1,0
976,29,0,0,1,0,6,-1.0,10,1,1
977,42,1,1,1,0,0,0.0,1,0,0
978,21,0,0,2,0,0,0.0,8,1,1
980,22,1,0,2,1,0,-2.0,3,0,0
981,45,0,1,0,0,2,-1.0,1,0,0
982,29,1,0,1,0,0,-1.0,2,0,0
984,30,0,0,1,0,6,-1.0,5,1,1
985,51,1,0,0,0,17,0.0,4,0,0
986,45,0,1,0,0,20,0.0,3,1,1
989,24,0,1,2,0,2,-27.0,6,0,0
990,23,1,0,2,0,2,-1.0,7,0,0
992,36,0,0,1,0,5,-1.0,4,0,0
994,69,1,1,0,0,0,-1.0,1,0,0
995,21,0,1,2,0,1,-4.0,5,1,1
996,59,1,1,0,0,1,-1.0,1,0,0
997,39,0,0,1,0,1,-9.0,6,0,0
998,29,0,0,1,0,2,-1.0,6,0,0
999,22,1,1,2,0,1,0.0,7,1,1
1001,44,0,1,1,0,6,0.0,3,0,0
1002,25,0,0,1,0,2,-1.0,5,0,0
1003,31,0,0,1,0,0,0.0,10,0,0
1004,35,1,0,1,0,17,-1.0,7,1,1
1005,27,1,0,1,0,11,-1.0,10,1,1
1006,33,0,0,1,0,1,0.0,5,0,0
1007,28,0,0,1,0,6,-1.0,9,1,1
1009,60,0,1,0,0,1,-1.0,1,0,0
1010,53,1,1,0,0,0,0.0,1,0,0
1011,51,0,1,0,0,0,0.0,1,1,1
1014,54,0,0,0,1,0,-1.0,1,0,0
1016,24,1,1,2,0,3,-1.0,4,0,0
1017,55,0,1,0,0,1,0.0,2,1,1
1018,26,0,1,1,0,0,-1.0,3,0,0
1019,75,0,0,0,1,5,-1.0,1,0,0
1020,36,0,0,1,0,16,0.0,5,1,1
1022,34,0,0,1,0,0,-1.0,2,1,1
1023,25,1,0,1,1,5,-1.0,7,1,1
1024,46,0,1,0,0,0,-1.0,1,0,0
1025,27,0,0,1,0,1,0.0,2,0,0
1027,28,1,0,1,0,3,0.0,3,1,1
1028,42,1,0,1,0,13,-1.0,8,1,1
1029,59,1,0,0,0,2,0.0,1,0,0
1030,39,0,1,1,0,1,-15.0,1,0,0
1031,46,1,1,0,0,5,-1.0,4,0,0
1032,25,0,0,1,0,1,-1.0,2,0,0
1033,55,0,1,0,0,2,-1.0,1,0,0
1034,35,1,0,1,0,1,-4.0,10,1,1
1035,43,1,0,1,0,0,-1.0,1,1,1
1036,53,1,1,0,1,0,0.0,1,0,0
1037,21,1,0,2,1,0,-1.0,5,0,0
1038,55,0,0,0,0,17,-1.0,10,1,1
1039,27,0,0,1,0,1,-1.0,3,1,1
1040,40,0,0,1,0,0,-1.0,1,0,0
1041,37,1,1,1,1,0,-1.0,1,0,0
1042,32,1,1,1,0,2,-1.0,2,1,1
1043,32,1,0,1,0,2,-1.0,2,0,0
1044,36,1,0,1,0,4,-1.0,5,1,1
1045,22,1,1,2,0,0,-1.0,3,0,0
1046,31,0,0,1,1,0,-1.0,8,0,0
1047,26,0,0,1,1,4,0.0,7,1,1
1048,50,1,1,0,1,30,-1.0,6,1,1
1049,47,0,0,0,0,4,0.0,3,0,0
1050,36,0,0,1,0,2,-2.0,3,1,0
1051,38,0,1,1,1,0,-1.0,1,0,0
1052,35,0,0,1,0,0,-1.0,1,0,0
1053,53,0,1,0,0,0,-1.0,1,0,0
1054,53,0,0,0,0,2,-1.0,3,0,0
1055,57,0,0,0,0,19,-1.0,7,0,0
1056,22,0,0,2,0,5,-1.0,8,1,1
1057,21,0,0,2,0,0,-5.0,10,1,1
1058,26,0,0,1,0,0,-1.0,3,1,1
1060,27,0,0,1,0,2,-1.0,5,0,0
1061,49,0,1,0,1,4,0.0,5,0,0
1062,47,0,1,0,0,1,-1.0,3,1,1
1063,30,0,0,1,0,8,-1.0,10,1,1
1064,44,0,1,1,0,3,0.0,1,0,0
1065,34,0,0,1,0,1,-17.0,1,0,0
1066,45,0,0,0,0,10,-1.0,3,1,1
1067,38,0,1,1,0,0,-1.0,4,0,0
1068,50,1,1,0,0,2,0.0,1,0,0
1069,29,1,1,1,0,1,0.0,6,0,0
1070,26,0,1,1,0,0,0.0,4,0,0
1072,22,0,0,2,1,1,-1.0,6,1,1
1073,47,1,1,0,0,0,0.0,1,0,0
1074,49,0,1,0,0,0,0.0,1,0,0
1075,49,0,0,0,0,1,0.0,3,1,1
1076,59,0,1,0,0,2,0.0,1,0,0
1077,32,1,1,1,0,6,-29.0,5,0,0
1078,24,1,0,2,0,1,0.0,2,1,1
1079,40,1,1,1,0,0,-2.0,2,0,0
1080,32,0,0,1,0,0,0.0,1,0,0
1081,54,1,1,0,1,0,0.0,1,0,0
1082,27,0,0,1,0,9,-1.0,10,1,1
1084,25,1,1,1,0,2,0.0,8,0,0
1087,20,1,1,2,0,0,-1.0,5,1,1
1088,37,1,0,1,0,18,-1.0,9,0,0
1089,30,0,1,1,1,5,0.0,10,1,1
1090,23,0,0,2,0,1,0.0,6,1,1
1091,20,0,0,2,1,0,0.0,8,0,0
1096,50,0,1,0,0,8,-14.0,2,0,0
1097,50,0,0,0,0,7,-1.0,2,0,0
1098,40,0,1,1,0,3,-1.0,1,0,0
1100,24,0,1,2,1,2,-1.0,7,0,0
1101,24,0,1,2,0,0,0.0,6,1,1
1102,23,0,0,2,1,3,-1.0,5,1,1
1104,54,1,1,0,0,3,-1.0,1,1,1
1105,25,1,1,1,0,4,-10.0,10,0,0
1106,46,1,1,0,0,1,-2.0,1,0,0
1108,25,0,0,1,0,1,-1.0,5,0,0
1109,22,1,1,2,1,0,-1.0,3,0,0
1110,32,0,1,1,1,1,-1.0,2,0,0
1111,25,1,0,1,0,0,-1.0,3,1,1
1113,33,0,0,1,0,16,-2.0,9,1,1
1116,33,1,0,1,0,4,-1.0,5,1,1
1117,24,0,0,2,0,0,0.0,2,0,0
1118,33,1,0,1,0,12,-1.0,9,1,1
1119,37,1,1,1,0,0,-1.0,2,1,0
1120,40,1,1,1,1,0,0.0,1,0,0
1122,43,0,0,1,0,9,-1.0,6,1,1
1124,35,0,0,1,0,5,-1.0,6,1,1
1125,25,0,0,1,0,11,-1.0,9,1,1
1126,61,0,0,0,0,1,0.0,1,1,1
1129,52,0,0,0,1,1,-28.0,1,0,0
1131,39,1,0,1,0,1,0.0,2,1,1
1132,47,0,0,0,0,5,-1.0,4,0,0
1134,52,1,1,0,1,6,0.0,7,0,0
1136,37,1,1,1,0,0,0.0,1,0,0
1137,24,0,0,2,1,0,-1.0,7,0,0
1138,34,0,0,1,1,14,-1.0,9,0,0
1140,20,1,0,2,0,0,-1.0,4,1,1
1141,25,1,1,1,0,1,0.0,3,1,1
1143,62,1,1,0,1,0,0.0,1,0,0
1144,23,0,1,2,0,0,-1.0,3,1,1
1145,60,0,1,0,1,0,0.0,7,0,0
1146,35,1,1,1,0,0,-1.0,1,0,0
1147,24,0,0,2,1,0,-1.0,7,0,0
1149,30,1,1,1,0,0,0.0,1,0,0
1151,35,0,1,1,0,4,-1.0,5,1,1
1152,28,1,1,1,1,0,-1.0,4,0,0
1154,56,0,0,0,0,0,-1.0,1,0,0
1155,23,0,0,2,0,2,-1.0,2,1,1
1156,20,0,1,2,0,0,-1.0,3,1,1
1158,23,1,1,2,0,1,-1.0,2,0,0
1159,21,0,0,2,0,0,0.0,9,1,1
1161,35,0,0,1,1,2,-1.0,5,0,0
1162,33,1,1,1,0,3,0.0,3,0,0
1163,21,0,1,2,0,0,-1.0,4,0,0
1164,41,1,0,1,0,9,-1.0,9,1,0
1165,24,0,0,2,0,0,-1.0,5,0,0
1166,20,0,1,2,0,2,9.0,10,1,1
1167,28,0,0,1,0,9,-1.0,8,1,1
1168,25,0,0,1,0,7,0.0,9,1,0
1169,49,0,0,0,0,3,0.0,2,0,0
1170,22,0,1,2,1,0,0.0,6,0,0
1171,21,0,0,2,0,0,-1.0,3,1,1
1172,27,0,0,1,1,3,-1.0,9,1,1
1174,50,1,0,0,0,4,-3.0,5,0,0
1175,23,1,0,2,1,0,0.0,3,0,0
1176,34,1,1,1,0,0,-1.0,4,0,0
1178,25,0,0,1,0,4,-1.0,5,1,1
1179,33,0,1,1,1,2,-1.0,5,1,1
1180,25,1,0,1,0,1,-1.0,4,1,1
1181,30,1,1,1,0,0,-1.0,1,0,0
1182,42,1,0,1,0,0,-1.0,2,0,0
1183,29,0,1,1,1,11,-3.0,10,1,1
1184,32,0,0,1,1,6,-1.0,4,1,1
1185,24,0,0,2,0,5,-1.0,6,0,0
1186,52,0,0,0,0,3,-1.0,1,0,0
1187,26,1,1,1,1,3,-1.0,3,0,0
1188,31,0,1,1,0,2,-1.0,3,1,1
1189,38,0,1,1,0,0,0.0,1,0,0
1192,30,0,1,1,1,0,0.0,5,0,0
1193,20,1,0,2,0,0,-1.0,10,1,1
1195,24,0,0,2,0,0,-1.0,3,0,0
1196,31,0,1,1,0,0,-1.0,4,0,0
1198,37,1,1,1,1,1,-25.0,3,0,0
1199,43,1,1,1,0,0,-4.0,2,1,1
1200,49,0,1,0,0,8,0.0,6,1,1
1201,33,0,0,1,1,1,-2.0,2,0,0
1203,42,1,0,1,0,0,0.0,1,0,0
1204,44,0,1,1,0,0,-1.0,2,1,1
1205,28,0,0,1,0,5,-1.0,6,1,1
1206,32,0,0,1,0,4,-1.0,6,1,1
1207,28,0,0,1,0,7,-1.0,7,1,1
1208,38,0,1,1,0,0,0.0,4,0,0
1209,38,0,0,1,0,3,-1.0,4,0,0
1211,34,1,0,1,1,0,-1.0,3,1,0
1212,21,0,1,2,0,1,-1.0,6,1,1
1213,36,0,0,1,0,1,-1.0,8,1,1
1214,29,1,0,1,0,0,-1.0,2,1,1
1215,34,0,0,1,0,3,-1.0,6,1,1
1216,38,1,0,1,0,1,-1.0,2,0,0
1217,36,0,1,1,0,0,-1.0,1,0,0
1218,32,1,1,1,0,0,-6.0,2,0,0
1219,23,1,0,2,0,0,-1.0,9,0,0
1220,47,1,1,0,0,0,-1.0,1,0,0
1221,20,0,0,2,0,0,0.0,3,0,0
1222,25,0,0,1,1,2,-1.0,8,1,1
1223,35,1,0,1,0,0,-1.0,1,0,0
1225,28,1,1,1,1,1,-1.0,4,0,0
1228,24,1,0,2,0,2,-1.0,5,1,1
1229,22,0,0,2,0,0,-1.0,9,0,0
1230,20,0,0,2,0,8,-1.0,10,1,1
1233,40,1,1,1,0,0,0.0,1,0,0
1234,27,0,0,1,0,1,-1.0,4,0,0
1235,60,0,0,0,0,12,-1.0,3,0,0
1236,33,1,0,1,0,6,-1.0,5,0,0
1237,34,1,0,1,0,2,-1.0,4,1,1
1238,24,1,1,2,0,4,-1.0,8,0,0
1239,27,1,0,1,0,0,-1.0,2,1,1
1240,29,0,0,1,0,4,0.0,10,1,1
1241,21,0,1,2,0,1,0.0,7,1,1
1242,32,1,1,1,0,0,-1.0,1,0,0
1244,42,0,1,1,1,0,-1.0,1,1,1
1245,32,0,0,1,0,1,0.0,4,0,0
1246,27,0,0,1,0,0,-2.0,1,0,0
1247,30,1,1,1,0,3,-1.0,4,0,0
1248,22,0,0,2,0,1,-1.0,3,1,1
1249,20,1,1,2,0,0,-2.0,10,1,1
1250,57,1,1,0,0,0,0.0,2,0,0
1251,51,0,1,0,0,3,-1.0,1,1,1
1252,21,0,0,2,0,0,-1.0,4,0,0
1253,22,0,0,2,0,0,-1.0,5,0,0
1254,35,0,0,1,0,4,-1.0,8,1,1
1256,58,0,1,0,0,2,-9.0,3,0,0
1257,32,0,1,1,1,0,-1.0,1,1,1
1259,30,1,1,1,0,9,-1.0,6,1,1
1260,20,0,0,2,0,0,-1.0,10,1,1
1261,40,1,0,1,0,0,-1.0,1,0,0
1262,45,1,1,0,1,5,-1.0,2,0,0
1263,31,0,0,1,0,4,-1.0,3,1,1
1264,23,0,1,2,0,4,-27.0,9,0,0
1265,26,1,1,1,0,0,-1.0,5,1,1
1266,53,1,1,0,1,1,-1.0,3,0,0
1267,44,1,1,1,0,0,-1.0,1,0,0
1268,44,1,1,1,1,1,-6.0,5,0,0
1269,21,0,1,2,0,0,-1.0,2,1,1
1270,28,1,0,1,0,0,0.0,1,0,0
1271,28,1,1,1,0,2,-1.0,1,0,0
1272,24,0,0,2,0,0,-1.0,3,1,1
1273,28,0,0,1,0,0,0.0,2,0,0
1274,53,0,1,0,0,4,0.0,1,0,0
1275,47,0,1,0,0,1,-1.0,5,0,0
1276,20,0,0,2,0,1,-24.0,3,0,0
1277,21,1,0,2,0,0,-6.0,6,0,0
1278,30,0,0,1,0,1,-1.0,2,1,1
1279,37,1,1,1,0,1,-1.0,1,1,1
1280,60,0,1,0,0,1,-18.0,1,0,0
1281,26,1,1,1,0,1,-1.0,2,1,1
1282,30,1,1,1,0,0,-1.0,1,0,0
1283,26,0,1,1,0,2,-1.0,8,1,1
1284,26,0,0,1,1,5,-1.0,9,1,1
1285,21,0,1,2,0,0,-1.0,5,0,0
1286,39,0,0,1,1,1,-1.0,2,0,0
1287,30,0,0,1,0,0,-1.0,2,0,0
1288,44,0,0,1,0,2,-1.0,5,0,0
1289,45,1,1,0,0,0,-1.0,2,0,0
1290,30,0,0,1,0,1,-1.0,1,0,0
1291,38,0,0,1,0,2,0.0,1,0,0
1292,23,0,1,2,0,6,-1.0,5,1,1
1294,46,1,0,0,0,0,-1.0,1,0,0
1295,42,0,0,1,0,0,-1.0,1,0,0
1298,54,1,1,0,0,4,-1.0,2,0,0
1299,47,0,0,0,0,7,-1.0,1,1,1
1301,26,0,1,1,0,0,-3.0,7,1,1
1302,29,1,1,1,0,7,-1.0,10,1,1
1303,51,0,1,0,0,7,-1.0,1,1,1
1304,44,1,0,1,0,0,0.0,1,0,0
1305,49,1,1,0,0,12,-24.0,5,0,0
1306,22,0,0,2,0,0,-1.0,8,1,1
1307,32,1,0,1,0,4,-1.0,4,1,1
1308,27,1,0,1,0,0,-1.0,3,0,0
1309,30,1,1,1,0,0,-1.0,2,0,0
1312,28,1,1,1,0,11,0.0,7,0,0
1313,45,1,0,0,0,0,-1.0,1,0,0
1314,51,0,1,0,1,5,0.0,5,0,0
1315,27,0,0,1,0,4,-1.0,2,1,1
1316,32,0,0,1,0,0,-1.0,7,1,1
